City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mankono,CI,2022-01-28 01:17:33,8.0586,-6.1897,74.86,26,9,1.5
68,Harper,LR,2022-01-28 01:17:34,4.375,-7.7169,78.85,80,98,5.48
69,Bereda,ES,2022-01-28 01:17:34,43.2686,-7.5406,46.92,100,11,2.98
70,Buraydah,SA,2022-01-28 01:17:35,26.326,43.975,46.85,35,74,10.51
71,Airai,TL,2022-01-28 01:17:36,-8.9266,125.4092,71.69,61,24,3.87
72,Carutapera,BR,2022-01-28 01:17:36,-1.195,-46.02,73.06,97,100,5.28
73,Yellowknife,CA,2022-01-28 01:17:37,62.456,-114.3525,-7.08,77,75,2.3
74,Mar Del Plata,AR,2022-01-28 01:17:38,-38.0023,-57.5575,62.1,74,0,3.0
75,Vallenar,CL,2022-01-28 01:17:39,-28.5708,-70.7581,69.19,63,0,3.31
76,Saskylakh,RU,2022-01-28 01:17:40,71.9167,114.0833,4.26,89,86,14.88
77,Roald,NO,2022-01-28 01:17:40,62.5833,6.1333,39.33,60,100,10.36
78,Hithadhoo,MV,2022-01-28 01:17:41,-0.6,73.0833,81.0,70,100,14.54
79,Kahului,US,2022-01-28 01:17:42,20.8947,-156.47,82.42,61,40,12.66
80,Sao Gabriel Da Cachoeira,BR,2022-01-28 01:17:42,-0.1303,-67.0892,73.08,98,100,1.92
81,Tecoanapa,MX,2022-01-28 01:17:43,16.5167,-98.75,79.12,74,0,6.26
82,Samana,DO,2022-01-28 01:17:44,19.2056,-69.3369,73.56,88,0,6.42
83,Honningsvag,NO,2022-01-28 01:17:45,70.9821,25.9704,29.62,77,100,14.43
84,Chuy,UY,2022-01-28 01:17:45,-33.6971,-53.4616,66.36,67,93,7.27
85,Saint-Philippe,RE,2022-01-28 01:17:46,-21.3585,55.7679,72.99,83,56,8.39
86,Vuktyl,RU,2022-01-28 01:17:47,63.8567,57.3094,4.37,96,100,6.85
87,Oak Ridge,US,2022-01-28 01:18:47,36.0104,-84.2696,43.09,61,100,0.0
88,Logansport,US,2022-01-28 01:18:49,40.7545,-86.3567,31.1,66,100,6.91
89,Lompoc,US,2022-01-28 01:18:49,34.6391,-120.4579,65.01,55,0,6.91
90,Santiago Del Estero,AR,2022-01-28 01:16:13,-27.7951,-64.2615,71.8,75,100,4.9
91,College,US,2022-01-28 01:18:51,64.8569,-147.8028,-7.28,74,100,0.0
92,Ribeira Grande,PT,2022-01-28 01:18:51,38.5167,-28.7,60.39,74,14,9.78
93,San Patricio,US,2022-01-28 01:18:52,28.017,-97.5169,61.48,74,100,8.95
94,Kota,IN,2022-01-28 01:18:53,25.1833,75.8333,49.48,49,0,1.05
95,Pagudpud,PH,2022-01-28 01:18:53,18.5616,120.7868,80.56,78,78,6.93
96,Saint Anthony,US,2022-01-28 01:15:53,45.0205,-93.218,15.73,43,0,8.05
97,Cidreira,BR,2022-01-28 01:16:35,-30.1811,-50.2056,71.85,65,84,12.73
98,Nanortalik,GL,2022-01-28 01:18:55,60.1432,-45.2371,11.68,78,47,10.49
99,Taltal,CL,2022-01-28 01:15:23,-25.4,-70.4833,67.42,77,0,5.41
100,Rock Sound,BS,2022-01-28 01:18:56,24.9,-76.2,76.53,72,54,7.23
101,Zyryanka,RU,2022-01-28 01:18:57,65.75,150.85,-28.79,96,100,5.26
102,Erzin,TR,2022-01-28 01:18:58,36.9559,36.2,34.52,63,1,3.91
103,Talnakh,RU,2022-01-28 01:18:58,69.4865,88.3972,4.21,92,100,16.98
104,Hermanus,ZA,2022-01-28 01:17:54,-34.4187,19.2345,64.8,80,0,3.29
105,Lata,PT,2022-01-28 01:19:00,40.1629,-8.3327,44.06,71,0,4.88
106,Victoria,HK,2022-01-28 01:16:49,22.2855,114.1577,69.76,93,100,8.99
107,Vysokogornyy,RU,2022-01-28 01:19:01,50.1167,139.15,-0.98,87,100,2.62
108,Khatanga,RU,2022-01-28 01:18:00,71.9667,102.5,2.59,79,76,14.47
109,Marsh Harbour,BS,2022-01-28 01:19:02,26.5412,-77.0636,74.08,78,16,7.63
110,Sept-Iles,CA,2022-01-28 01:19:02,50.2001,-66.3821,12.72,76,75,1.01
111,Hamilton,US,2022-01-28 01:19:03,39.1834,-84.5333,35.73,72,100,4.0
112,New Norfolk,AU,2022-01-28 01:19:04,-42.7826,147.0587,89.65,30,27,6.53
113,Ponta Do Sol,PT,2022-01-28 01:19:05,32.6667,-17.1,58.01,78,70,4.18
114,Clyde River,CA,2022-01-28 01:19:05,70.4692,-68.5914,-9.17,84,100,18.41
115,Gusinoye Ozero,RU,2022-01-28 01:19:06,51.1144,106.2614,-17.18,100,33,0.87
116,Ialibu,PG,2022-01-28 01:19:07,-6.2821,143.9935,73.08,50,100,3.24
117,Hami,CN,2022-01-28 01:19:08,42.8,93.45,21.85,45,3,2.66
118,Cortez,US,2022-01-28 01:19:08,37.3489,-108.5859,33.35,51,0,6.91
119,Ilulissat,GL,2022-01-28 01:19:09,69.2167,-51.1,3.22,78,100,4.61
120,Yumen,CN,2022-01-28 01:19:10,40.2833,97.2,17.44,43,4,6.33
121,Khash,IR,2022-01-28 01:19:11,28.2211,61.2158,47.68,37,0,5.41
122,Bangkalan,ID,2022-01-28 01:19:12,-7.0455,112.7351,82.35,82,100,7.31
123,Carnarvon,AU,2022-01-28 01:19:12,-24.8667,113.6333,82.47,65,0,4.61
124,Shelburne,CA,2022-01-28 01:15:33,44.0787,-80.2041,19.85,91,90,13.6
125,Sitka,US,2022-01-28 01:19:15,57.0531,-135.33,42.69,75,100,13.8
126,Puerto Ayora,EC,2022-01-28 01:19:15,-0.7393,-90.3518,73.8,84,53,6.89
